section;in_resume;title;loc;institution;start;end;description_1;description_2;description_3
;;;;;;;;;
;;;;;;;;;
education;TRUE;Sociology master Urban studies;Erasmus School of Social and Behavioural Sciences;Rotterdam;;2019;Thesis: Sociotechnical energy imaginaries of non-users of ECO-innovations: identification and perceptions of residential households not adopting solar energy (grade: 8).;;
education;TRUE;Pre-master Sociology;Erasmus School of Social and Behavioural Sciences;Rotterdam;2017;2018;;;
education;;Hogere gastechniek; Kiwa Gastec ;Apeldoorn;;2014;;;
education;TRUE;Pre-master mechanical engineering;Tu-Delft;Delft;;2013;;;
education;TRUE;Mechanical engineering;Haagse Hogeschool;Delft;2008;2013;"Thesis: Converting  biomass to anergy; A case study in Uganda rural environment(grade: 7).";Intership: R&D optimizing injection molding process of conveyor-belt components (grade: 9);
education;TRUE;VMBO Installatietechniek ;Kalsbeek college;Woerden;2001;2005;;;
;;;;;;;;;
;;;;;;;;;
industry_positions;TRUE;Co-owner;Green Digit;Rotterdam;2021;heden;Green Digit helpt bedrijven bedrijven met continu verbeteren voor het toepassen van de 4M methode.;Monitoring: het identificeren van relevante KPI's, het verzamel en het modeleren van date t.b.v. deze KPIs en verwerken in een dashboard, en het implementeren van het dashbaord.;Mensen: coachen en trainen van mensen in de organisatie op het gebied van lean en data, Middelen: we bouwen apps tbv digitalisatie, Methode: procesoptimalisatie vanuit lean six sigma
industry_positions;TRUE;Asset management;Stedin;Rotterdam;2016;2021;Gewerkt in verschillende functies als data scientist aan de energietransistie, waarbij ik door middel van analyses de toekomstige staat van het netwerk modelleerde en investeringsroutes voorspelde.;;
industry_positions;;Grid analytics;Stedin;Rotterdam;2019;2021;Modelleren van de impact van de energietransitie op de belasting van het energienetwerk, met behulp van verschillende technieken zoals regressie, classificatie en machine learning. Deelnemen aan data-werkgroep RES (regionale energie strategie), om een format te creeren om de impact van RES-scenario's op het energienetwerk te beoordelen.;Ontwikkeling en implementatie van portefeuille-optimalisatie. Ontwerpen van een kader en de benodigde software om het management in staat te stellen een risicogebaseerde investeringsportefeuille te kiezen.;Deelnemen aan verschillende werkgroepen voor netbeheerders, zoals MORGAN (MOet Regulering Gasnetten ANders) en iNET (integraal Netwerk en Energiesysteem van de Toekomst).
industry_positions;;Risk manager;Stedin;Rotterdam;;2018;Verantwoordelijk voor het beoordelen van risico's van de gasassetportefeuille via het ISO5001-kader, door modellen te creeren om het risico van het complexe systeem op een uniforme manier te beoordelen.;Bouw van een monitorsysteem voor het voorspellen van het falen van gasleidingen als gevolg van bodemdaling via satellietgegevens.;
industry_positions;;Asset quality specialist;Stedin;Rotterdam;;2017;Werken aan het ontwerp, de implementatie en monitoring van maatregelen om de kwaliteit van activa te waarborgen. Het vertalen van kwaliteitsmaatregelen voor activa naar investeringsplanning. Bijvoorbeeld de ontwikkeling van sensoren voor het kathodische beschermingssysteem voor stalen leidingen.;;
industry_positions;;Network planner gas;Stedin;Rotterdam;;2016;Aanspreekpunt voor interne en externe belanghebbenden voor alle initiatieven die invloed kunnen hebben op het gasnetwerk.;;
